Description,Category
barber shop store,Personal Care
marriott hotel reservation,Travel
coursera subscription,Education
shampoo and soap store,Personal Care
ebay online,Shopping
vacation cruise booking,Travel
urgent care health,Health
pizza hut order,Food
public transit ticket,Transport
sewer bill monthly,Utilities
disney plus membership,Entertainment
walmart,Shopping
hospital copay clinic,Health
xbox membership,Entertainment
amazon online,Shopping
hertz car rental,Travel
dog walker,Pets
public transit ticket,Transport
amtrak station,Transport
dentist office clinic,Health
vacation cruise,Travel
steam games premium,Entertainment
notebooks and pens,Education
university tuition online,Education
internet broadband fee,Utilities
trash collection payment,Utilities
haircut salon appointment,Personal Care
apartment rent payment,Utilities
wendys,Food
resort fee reservation,Travel
hertz car rental,Travel
dog food bag supplies,Pets
manicure pedicure routine,Personal Care
luggage bag trip,Travel
khan academy donation fee,Education
marriott hotel,Travel
hertz car rental booking,Travel
marriott hotel booking,Travel
haircut salon appointment,Personal Care
apple store checkout,Shopping
college textbook store,Education
chipotle,Food
college textbook store,Education
quest diagnostics bill,Health
cvs pharmacy health,Health
public transit ride,Transport
college textbook,Education
uber to resort trip,Travel
shell gas station,Transport
concert ticket,Entertainment
mcdonalds payment,Food
exxonmobil,Transport
amazon store,Shopping
school supplies store,Education
eye doctor bill,Health
subway order,Food
metro station,Transport
quest diagnostics clinic,Health
delta airlines ride,Transport
airbnb booking,Travel
university tuition online,Education
exxonmobil station,Transport
barber shop,Personal Care
marriott hotel trip,Travel
first aid kit clinic,Health
skincare products routine,Personal Care
ikea store,Shopping
dog walker store,Pets
skincare products store,Personal Care
udemy course,Education
apple store checkout,Shopping
target online,Shopping
starbucks payment,Food
amazon store,Shopping
steam games,Entertainment
walmart,Shopping
flea medication supplies,Pets
internet broadband payment,Utilities
verizon fee,Utilities
ikea online,Shopping
shampoo and soap routine,Personal Care
spotify,Entertainment
delta airlines,Transport
pet grooming store,Pets
dentist office,Health
best buy checkout,Shopping
playstation membership,Entertainment
exxonmobil ticket,Transport
taco bell,Food
expedia flight trip,Travel
ikea,Shopping
dentist office clinic,Health
macys checkout,Shopping
flea medication visit,Pets
barber shop routine,Personal Care
exxonmobil station,Transport
verizon fee,Utilities
prescription refill bill,Health
att mobile fee,Utilities
bus pass station,Transport
flea medication store,Pets
vacation cruise,Travel
home depot,Shopping
luggage bag booking,Travel
veterinary clinic,Pets
lyft ride,Transport
internet broadband fee,Utilities
home depot checkout,Shopping
xbox,Entertainment
advil medicine bill,Health
delta airlines,Transport
steam games subscription,Entertainment
water bill,Utilities
skincare products,Personal Care
cinema premium,Entertainment
amazon store,Shopping
internet broadband fee,Utilities
veterinary clinic store,Pets
pet grooming,Pets
internet broadband fee,Utilities
concert ticket subscription,Entertainment
haircut salon routine,Personal Care
ulta beauty routine,Personal Care
flea medication supplies,Pets
haircut salon,Personal Care
school supplies online,Education
hospital copay clinic,Health
uber to resort trip,Travel
ulta beauty appointment,Personal Care
kroger payment,Food
haircut salon,Personal Care
quest diagnostics,Health
disney plus,Entertainment
concert ticket,Entertainment
trash collection fee,Utilities
amazon store,Shopping
marriott hotel trip,Travel
eye doctor,Health
advil medicine clinic,Health
wendys order,Food
walgreens,Health
att mobile monthly,Utilities
first aid kit health,Health
ikea checkout,Shopping
cinema subscription,Entertainment
manicure pedicure routine,Personal Care
subway,Food
att mobile,Utilities
shampoo and soap,Personal Care
first aid kit bill,Health
disney plus premium,Entertainment
dog food bag visit,Pets
whole foods payment,Food
att mobile payment,Utilities
luggage bag trip,Travel
barber shop appointment,Personal Care
dog walker visit,Pets
amtrak,Transport
home depot checkout,Shopping
uber to resort reservation,Travel
day spa,Personal Care
uber ride,Transport
internet broadband,Utilities
trash collection monthly,Utilities
uber ride,Transport
metro,Transport
playstation premium,Entertainment
marriott hotel reservation,Travel
ulta beauty routine,Personal Care
chipotle,Food
expedia flight,Travel
walmart checkout,Shopping
hospital copay clinic,Health
sewer bill payment,Utilities
notebooks and pens online,Education
exxonmobil station,Transport
hertz car rental reservation,Travel
veterinary clinic visit,Pets
best buy store,Shopping
udemy course,Education
day spa routine,Personal Care
coursera subscription store,Education
taco bell order,Food
home depot online,Shopping
expedia flight booking,Travel
apple store store,Shopping
university tuition fee,Education
advil medicine bill,Health
taco bell order,Food
local bakery purchase,Food
hbo max,Entertainment
day spa routine,Personal Care
ikea online,Shopping
marriott hotel,Travel
sephora cosmetics appointment,Personal Care
school supplies online,Education
cinema subscription,Entertainment
shampoo and soap appointment,Personal Care
dog walker,Pets
public transit ride,Transport
wendys purchase,Food
ebay store,Shopping
chewy online visit,Pets
playstation membership,Entertainment
hbo max,Entertainment
chevron station,Transport
vacation cruise reservation,Travel
taco bell,Food
ikea store,Shopping
luggage bag reservation,Travel
vacation cruise,Travel
exxonmobil,Transport
chevron ride,Transport
concert ticket premium,Entertainment
dog walker supplies,Pets
subway order,Food
dog walker store,Pets
cvs pharmacy health,Health
shell gas ticket,Transport
school supplies fee,Education
disney plus premium,Entertainment
cat litter visit,Pets
walgreens clinic,Health
coursera subscription fee,Education
att mobile,Utilities
target store,Shopping
starbucks purchase,Food
skincare products appointment,Personal Care
hospital copay health,Health
khan academy donation fee,Education
apartment rent monthly,Utilities
uber to resort reservation,Travel
lyft ride,Transport
coursera subscription fee,Education
school supplies,Education
local bakery payment,Food
apple store online,Shopping
ikea online,Shopping
electric bill payment,Utilities
amtrak station,Transport
trash collection fee,Utilities
best buy online,Shopping
barber shop appointment,Personal Care
netflix,Entertainment
playstation subscription,Entertainment
local bakery payment,Food
chipotle payment,Food
bus pass ticket,Transport
pet grooming store,Pets
advil medicine,Health
shell gas station,Transport
petco store,Pets
day spa appointment,Personal Care
manicure pedicure store,Personal Care
home depot checkout,Shopping
apartment rent monthly,Utilities
marriott hotel,Travel
uber to resort reservation,Travel
sewer bill monthly,Utilities
kroger purchase,Food
disney plus,Entertainment
local bakery,Food
day spa store,Personal Care
electric bill payment,Utilities
quest diagnostics clinic,Health
uber station,Transport
notebooks and pens store,Education
kroger purchase,Food
subway payment,Food
resort fee,Travel
first aid kit bill,Health
xbox premium,Entertainment
expedia flight reservation,Travel
concert ticket membership,Entertainment
haircut salon,Personal Care
exxonmobil station,Transport
exxonmobil ride,Transport
hertz car rental trip,Travel
steam games membership,Entertainment
student loan payment store,Education
steam games membership,Entertainment
verizon,Utilities
udemy course,Education
day spa,Personal Care
wendys order,Food
haircut salon appointment,Personal Care
lyft ride,Transport
subway,Food
veterinary clinic store,Pets
airbnb booking trip,Travel
luggage bag,Travel
udemy course online,Education
ikea store,Shopping
walgreens health,Health
eye doctor health,Health
metro,Transport
home depot store,Shopping
sewer bill,Utilities
vacation cruise trip,Travel
playstation,Entertainment
hertz car rental reservation,Travel
whole foods purchase,Food
bus pass station,Transport
notebooks and pens fee,Education
notebooks and pens fee,Education
amazon store,Shopping
day spa,Personal Care
day spa,Personal Care
school supplies,Education
hospital copay bill,Health
apartment rent monthly,Utilities
apartment rent fee,Utilities
pizza hut,Food
cinema subscription,Entertainment
mcdonalds purchase,Food
ulta beauty store,Personal Care
university tuition fee,Education
macys checkout,Shopping
spotify membership,Entertainment
taco bell order,Food
sephora cosmetics routine,Personal Care
dog food bag,Pets
electric bill,Utilities
prescription refill bill,Health
prescription refill bill,Health
luggage bag reservation,Travel
exxonmobil,Transport
school supplies fee,Education
trash collection fee,Utilities
luggage bag booking,Travel
resort fee booking,Travel
water bill fee,Utilities
verizon payment,Utilities
target checkout,Shopping
uber to resort booking,Travel
hertz car rental,Travel
cinema premium,Entertainment
manicure pedicure store,Personal Care
hertz car rental,Travel
first aid kit health,Health
water bill monthly,Utilities
exxonmobil ride,Transport
electric bill fee,Utilities
concert ticket,Entertainment
local bakery payment,Food
hospital copay health,Health
luggage bag,Travel
resort fee trip,Travel
spotify membership,Entertainment
mcdonalds order,Food
walmart online,Shopping
local bakery order,Food
disney plus subscription,Entertainment
student loan payment fee,Education
target checkout,Shopping
ikea online,Shopping
